Name: XMUMarket
Cash: 101.5

category: food
name: tomato
quantity: 10
production_date: 2024/6/1
guarantee_period: 7
price: 2.5

category: food
name: apple
quantity: 4
production_date: 2024/6/1
guarantee_period: 60
price: 1.5

category: food
name: banana
quantity: 1
production_date: 2024/5/29
guarantee_period: 20
price: 5

category: DailyGoods
name: notebook
quantity: 50
production_date: 2024/5/1
price: 15

category: DailyGoods
name: pen
quantity: 20
production_date: 2024/1/15
price: 3

category: ElectricalAppliance
name: TV1
quantity: 2
production_date: 2024/2/15
color: black
maintence: 365
price: 150

category: ElectricalAppliance
name: TV2
quantity: 1
production_date: 2024/3/15
color: white
maintence: 365
price: 120

